,max depth,n_estimators,training accuracy,training precision,training recall,training f1 score,test accuracy,test precision,test recall,test f1 score
0,5,10,0.9517241379310345,1.0,0.9303506017791733,0.9628796962430055,0.8285714285714286,0.9285714285714286,0.8285714285714286,0.865952380952381
1,5,31,0.9862068965517241,1.0,0.9824175824175825,0.9910659707528096,0.8571428571428571,0.9476906552094521,0.8571428571428571,0.8926223250433776
2,5,52,0.993103448275862,1.0,0.9871794871794872,0.9934640522875817,0.8285714285714286,0.9714285714285714,0.8285714285714286,0.886050061050061
3,5,73,1.0,1.0,1.0,1.0,0.8714285714285714,0.9714285714285714,0.8714285714285714,0.9092517461378137
4,5,94,1.0,1.0,1.0,1.0,0.8714285714285714,0.9755102040816326,0.8714285714285714,0.9148424924098866
5,5,115,1.0,1.0,1.0,1.0,0.8857142857142857,0.9785714285714285,0.8857142857142857,0.926571815718157
6,5,136,1.0,1.0,1.0,1.0,0.8571428571428571,0.9714285714285714,0.8571428571428571,0.9018099109562524
7,5,157,1.0,1.0,1.0,1.0,0.8714285714285714,0.9755102040816326,0.8714285714285714,0.9148424924098866
8,5,178,1.0,1.0,1.0,1.0,0.8714285714285714,0.9755102040816326,0.8714285714285714,0.9148424924098866
9,5,200,1.0,1.0,1.0,1.0,0.8714285714285714,0.9755102040816326,0.8714285714285714,0.9148424924098866
10,7,10,0.9793103448275862,1.0,0.9776556776556777,0.9886331344131856,0.8285714285714286,0.9428571428571428,0.8285714285714286,0.8746674378253325
11,7,31,1.0,1.0,1.0,1.0,0.8571428571428571,0.9476906552094521,0.8571428571428571,0.8926223250433776
12,7,52,1.0,1.0,1.0,1.0,0.8428571428571429,0.9597207303974221,0.8428571428571429,0.8921595655806183
13,7,73,1.0,1.0,1.0,1.0,0.8857142857142857,0.9809523809523808,0.8857142857142857,0.9295325962745112
14,7,94,1.0,1.0,1.0,1.0,0.9,0.9809523809523808,0.9,0.9371840606161164
15,7,115,1.0,1.0,1.0,1.0,0.9142857142857143,0.9828571428571428,0.9142857142857143,0.9468315559778974
16,7,136,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
17,7,157,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
